Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error,,
14.05327s,Vector SLP3,36 AF 81 F8 7C 21 81 88 21 F4 00 41 81 80 81 88 21 F0 40 01 81 80 81 88 41 F0 20 01 81 80 81 88 41 F0 10 01 81 80 81 88 21 F0 0F 01 C9 1D 81 80 81 88 41 F4 80 41 81 80 03 21 01 82 81 88 41 F4 00 41 81 80 32 48 01 21 02 7B 61 F3 41 02 02 73 02 7B 61 F3 00 02 02 73 70 47 70 47 70 47 00 2B 08 BF 70 47 2D E9 F8 43 99 46 17 46 0C 46 05 46 FF F7 71 FB 00 28 08 BF BD E8 F8 83 00 2C 0C BF 95 F8,14.05789s,Vector SLP3,76 AF,,,
14.08531s,Vector SLP3,36 B0 14 80 14 F8 01 8B 4F F0 50 25 95 F8 7C 01 40 F0 04 00 85 F8 7C 01 1C 4E B0 89 30 89 68 F3 0F 00 30 81 14 F8 01 8B FE F7 2A F8 00 90 28 7B 10 F0 04 0F 05 D1 FE F7 23 F8 00 99 49 1C 88 42 F5 DB 95 F8 7C 01 40 F0 04 00 85 F8 7C 01 B0 89 A9 F1 01 09 07 F8 01 0B B9 F1 00 0F DE DC BD E8 F8 83 70 47 70 47 70 47 70 47 70 47 70 47 70 47 00 20 70 47 00 20 70 47 00 20 70 47 00 20 70 47 00 20,14.08975s,Vector SLP3,76 B0,,,
14.12997s,Vector SLP3,36 B1 70 47 00 20 70 47 70 47 00 60 02 48 00 80 02 48 FF 4A 10 B5 D3 69 00 21 00 2B 04 BF 01 20 10 BD FC 4A 92 F8 10 C0 84 45 06 D0 10 74 14 22 F9 49 18 46 FA F7 21 F9 01 46 08 46 10 BD 2D E9 F0 41 F4 F7 96 FA 01 20 FF F7 E3 FA F4 F7 8C FA 00 26 EF 4D F0 4C 01 27 B0 B1 F4 F7 90 FA 01 20 FF F7 D7 FA F4 F7 80 FA E8 B1 AE 70 E8 69 00 21 20 B3 22 7C 3A B3 21 74 14 22 E6 49 FA F7 FD F8 04 46,14.13456s,Vector SLP3,76 B1,,,
14.16192s,Vector SLP3,36 B2 F4 F7 76 FA 0C E0 AE 70 E8 69 01 21 B8 B1 22 7C 01 2A 19 D0 21 74 14 22 DE 49 FA F7 ED F8 04 46 94 B1 0C E0 AF 70 20 7C 00 28 18 BF 01 28 09 D0 E8 69 4F F0 00 01 00 28 DC D1 F4 F7 59 FA 01 20 BD E8 F0 81 F4 F7 54 FA FF F7 C7 FA 00 20 BD E8 F0 81 2D E9 F0 41 F4 F7 4B FA 01 20 FF F7 98 FA F4 F7 41 FA 01 26 CA 4C CA 4F 00 25 00 28 04 BF A5 70 3E 74 0D D0 F4 F7 41 FA 01 20 FF F7 88 FA,14.16642s,Vector SLP3,76 B2,,,
14.19357s,Vector SLP3,36 B3 F4 F7 31 FA 00 28 0C BF A6 70 A5 70 F4 F7 30 FA 3D 74 BD E8 F0 41 FF F7 A0 BA BD 48 C0 69 00 28 04 BF 01 20 70 47 10 B5 14 22 BA 49 FA F7 1E F8 01 28 18 BF 00 20 10 BD 2D E9 F0 41 B4 4C 01 26 00 25 E0 69 01 7B FF 29 0C D0 18 B1 14 22 B1 49 FA F7 0C F8 FF F7 72 FF 00 28 0C BF E5 70 E6 70 BD E8 F0 81 F4 F7 04 FA 01 20 FF F7 51 FA F4 F7 FA F9 A8 4F 00 28 04 BF A5 70 3E 74 0D D0 F4 F7,14.19791s,Vector SLP3,76 B3,,,
14.22465s,Vector SLP3,36 B4 FD F9 01 20 FF F7 44 FA F4 F7 ED F9 00 28 0C BF A6 70 A5 70 F4 F7 EC F9 3D 74 FF F7 5E FA E5 70 BD E8 F0 81 9A 49 00 20 08 70 FF F7 F0 BB 70 B5 FF F7 5C FA 98 4E 01 24 06 EB 80 00 08 25 81 68 96 48 01 60 04 71 44 71 C5 71 FF F7 4F FA 06 EB 80 00 01 69 92 48 01 60 04 71 44 71 C5 71 FF F7 45 FA 06 EB 80 00 01 6A 8E 48 01 60 04 71 44 71 C5 71 FF F7 3B FA 06 EB 80 00 81 6A 8A 48 01 60,14.22915s,Vector SLP3,76 B4,,,
14.25630s,Vector SLP3,36 B5 04 71 44 71 C5 71 D8 30 4F F4 A0 61 01 60 04 71 44 71 7F 4C C5 71 00 25 25 72 E5 71 25 70 FF F7 B6 FB 4F F6 FF 70 20 83 00 F0 E5 FA E0 78 01 28 06 D1 F6 F7 58 FD 41 F2 94 10 60 82 F6 F7 5B FD 65 83 70 BD 72 48 40 8A 70 47 71 48 80 8A 70 47 6F 48 C0 8A 70 47 6E 48 00 78 70 47 6C 48 40 78 70 47 6B 48 80 78 70 47 69 48 00 79 70 47 68 48 41 89 49 1C 41 81 01 21 01 70 70 47 64 48 00 8B,14.26101s,Vector SLP3,76 B5,,,
14.28809s,Vector SLP3,36 B6 70 47 F8 B5 05 46 00 7A 10 F0 10 0F 36 D0 F5 F7 BC FE 66 4C 32 30 20 72 F5 F7 F0 FF 32 30 60 72 F2 F7 63 FE 00 EB 80 00 C0 F3 55 20 01 F0 40 F8 5F 49 00 F0 9E FF 01 F0 40 F8 A0 72 68 46 F9 F7 3C FA F8 F7 D9 FE 00 EB 80 00 40 F3 CF 16 F3 F7 B0 FA 00 28 08 BF 00 26 02 D0 FC 2E 88 BF FC 26 E6 72 9D F8 00 00 20 73 9D F8 01 00 60 73 51 48 4E 49 00 78 A0 73 50 48 FE F7 D2 FD 28 7A 44 4E,14.29249s,Vector SLP3,76 B6,,,
14.31900s,Vector SLP3,36 B7 10 F0 01 00 41 F6 FC 71 F0 71 08 BF 00 24 12 D0 EA 7A A8 7A 4F F4 F8 53 03 EA 02 22 14 18 8C 42 07 D8 44 B1 64 2C AA BF 41 F2 94 10 64 24 84 42 01 DD 41 F2 94 14 28 7B 46 F2 67 61 C0 01 48 43 45 0C 08 BF 4F F6 FF 75 0A D0 B5 F5 C0 7F 38 BF 4F F4 C0 75 04 D3 B5 F5 70 6F 88 BF 4F F4 70 65 F6 F7 C1 FC 74 82 35 83 F6 F7 C5 FC F8 BD 70 B5 27 4C 00 20 60 71 F4 F7 CC FE 30 4D 00 28 02 BF,14.32336s,Vector SLP3,76 B7,,,
14.34992s,Vector SLP3,36 B8 28 88 10 F0 20 0F 10 F0 80 0F 03 D0 60 79 40 F0 08 00 60 71 F5 F7 EE F8 00 28 02 BF 28 78 10 F0 10 0F 70 BD 60 79 40 F0 01 00 60 71 70 BD 00 B5 83 B0 FF 21 8D F8 07 10 8D F8 06 10 9D F8 05 10 00 22 21 F0 01 01 8D F8 05 10 68 B1 41 F2 9A 50 AD F8 02 00 9D F8 04 00 20 F0 FF 00 08 30 8D F8 04 00 41 F0 FE 00 09 E0 9D F8 04 00 AD F8 02 20 20 F0 FF 00 8D F8 04 00 21 F0 FE 00 8D F8 00 20,14.35460s,Vector SLP3,76 B8,,,
14.38101s,Vector SLP3,36 B9 8D F8 01 20 8D F8 05 00 0D 49 0D F1 FF 32 19 E0 98 04 00 18 50 0C 00 18 20 0C 00 18 E0 09 00 18 28 0A 00 18 B8 0A 00 18 70 0A 00 18 48 0B 00 18 00 00 8C C2 13 02 00 18 94 09 00 18 4E 01 00 18 77 0A 00 18 04 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 D9 49 D9 48 FE F7 21 FD 03 B0 00 BD 10 B5 D6 48 FE F7 C8 FD D6 4C 20 62 28 B1 64 21 08 46 FF F7 E7 F8 60 8B 40 1C 60 83 10 BD,14.38547s,Vector SLP3,76 B9,,,
14.41173s,Vector SLP3,36 BA 2D E9 F0 41 CE 48 FE F7 D5 FD 07 28 07 BF 40 F2 DC 51 08 46 FA 21 08 46 FF F7 D5 F8 C8 48 FE F7 16 FE C8 4C 01 27 00 25 A0 89 46 28 2F BF 67 70 40 1C A0 81 65 70 E0 78 01 28 08 BF BD E8 F0 81 C1 49 BF 48 FE F7 23 FD 08 B3 FF F7 CF F8 BF 4E DF F8 F4 82 06 EB 80 00 80 69 D8 F8 00 10 88 42 03 D1 40 46 00 F0 27 FA 11 E0 FF F7 BF F8 56 F8 20 00 D8 F8 00 10 88 42 09 D1 A0 78 18 B1 E0 69,14.41633s,Vector SLP3,76 BA,,,
14.44267s,Vector SLP3,36 BB 00 7B FF 28 00 D1 A5 81 AF 48 FF F7 BA FE 00 F0 91 F9 65 71 F4 F7 FD FD AD 4E 00 28 02 BF 30 88 10 F0 20 0F 10 F0 80 0F 03 D0 60 79 40 F0 08 00 60 71 F5 F7 1F F8 00 28 04 BF 30 78 10 F0 10 0F 03 D0 60 79 40 F0 01 00 60 71 60 79 A1 79 88 42 07 D0 21 7A 29 B9 A0 71 21 8A 49 B1 FF F7 27 FF 27 72 B4 F9 10 00 00 28 C4 BF 40 1E 20 82 05 DC 63 20 20 82 60 79 FF F7 1A FF 25 72 B4 F9 0E 00,14.44720s,Vector SLP3,76 BB,,,
14.47348s,Vector SLP3,36 BC 00 28 1E BF 40 1E E0 81 BD E8 F0 81 14 20 E0 81 F3 F7 37 F9 8F 4D 28 72 C0 F3 04 20 68 72 E0 79 60 72 F4 F7 C4 FD 01 28 0C BF 02 20 60 7A 60 72 A8 72 F3 F7 5B F9 00 F0 B2 FE 87 49 00 F0 71 FE 00 F0 BB FE 07 B2 F3 F7 34 F9 00 28 04 BF 00 27 A8 7A 07 D0 A8 7A 00 2F B8 BF 00 27 02 DB 3C 2F 88 BF 3C 27 27 F0 40 41 40 EA 81 00 A8 72 F8 F7 5D FD 00 EB 80 00 C7 09 F3 F7 1B F9 00 28 08 BF,14.47806s,Vector SLP3,76 BC,,,
14.50443s,Vector SLP3,36 BD 00 27 02 D0 FC 2F 88 BF FC 27 EF 72 F4 F7 46 FC 32 30 00 B2 FE 28 88 BF FE 20 28 73 F5 F7 9D FF 00 EB 80 00 C0 F3 55 20 00 F0 82 FE 6B 49 00 F0 E0 FD 00 F0 82 FE 00 B2 FF 28 88 BF FF 20 68 73 30 78 C0 F3 40 11 C0 F3 C0 12 41 EA 42 01 C0 F3 00 10 41 EA 80 06 F8 F7 FD FC 08 21 01 EA C0 00 06 43 F4 F7 56 FD 10 21 01 EA 00 10 06 43 F4 F7 81 FF 20 21 01 EA 40 10 A1 78 40 22 30 43 02 EA,14.50893s,Vector SLP3,76 BD,,,
14.53610s,Vector SLP3,36 BE 81 11 08 43 A8 73 2E 20 E8 73 52 49 4C 48 FE F7 07 FC F5 F7 D6 FC 52 49 32 30 08 72 48 48 FE F7 FF FB E0 89 40 1E E0 81 BD E8 F0 81 49 49 00 20 03 22 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62 08 63 48 63 88 63 C8 63 08 64 48 64 48 31 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62 08 63 48 63,14.54078s,Vector SLP3,76 BE,,,
14.56810s,Vector SLP3,36 BF 88 63 C8 63 08 64 48 64 48 31 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62 08 63 48 63 88 63 C8 63 08 64 48 64 48 31 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62 08 63 48 63 88 63 C8 63 08 64 48 64 48 31 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62,14.57264s,Vector SLP3,76 BF,,,
14.59998s,Vector SLP3,36 C0 08 63 48 63 88 63 C8 63 08 64 48 64 48 31 08 60 08 71 4A 71 88 71 C8 71 88 60 C8 60 08 61 48 61 88 61 C8 61 08 62 48 62 88 62 C8 62 08 63 48 63 88 63 C8 63 08 64 48 64 70 47 00 00 70 0A 00 18 94 09 00 18 98 04 00 18 00 0B 00 18 20 0C 00 18 4E 01 00 18 E0 09 00 18 CD CC CC 3D 00 00 8C C2 28 0A 00 18 10 B5 F8 F7 5D FC F4 F7 13 FC BD E8 10 40 F4 F7 B3 BC 10 B5 FA 4C 00 20 20 70 60 70,14.60449s,Vector SLP3,76 C0,,,
14.63158s,Vector SLP3,36 C1 FE F7 34 FF F8 49 01 EB 80 00 01 6A F7 48 01 60 01 21 01 71 41 71 08 22 C2 71 F5 48 A0 60 4F F4 7A 70 A0 80 A1 70 10 BD EE 49 4A 78 01 2A 08 BF 48 70 70 47 2D E9 F0 47 EA 48 94 B0 00 24 01 78 39 B1 81 88 00 29 06 BF 04 70 4F F4 7A 71 49 1E 81 80 42 78 01 21 3A B1 01 2A 12 BF 02 2A 14 B0 BD E8 F0 87 04 2A 03 D0 41 70 14 B0 BD E8 F0 87 F2 F7 A8 FF 01 28 1C BF 14 B0 BD E8 F0 87 4F F6,14.63598s,Vector SLP3,76 C1,,,
14.66258s,Vector SLP3,36 C2 A6 00 AD F8 48 00 12 AA 04 21 DA 48 FA F7 6D FA 00 28 46 D0 03 23 8D F8 04 40 8D F8 05 30 00 27 8D F8 06 40 00 94 8D F8 07 40 02 94 03 94 04 94 05 94 06 94 07 94 08 94 09 94 0A 94 0B 94 0C 94 CD 4A 4F F0 7F 0A 4F F0 31 09 4F F0 01 08 3E 46 3D 46 BC 46 0D 94 0E 94 0F 94 10 94 24 20 0D F1 FF 31 11 94 54 78 4C 70 12 F8 02 4F 01 F8 02 4F 40 1E F7 D1 8D F8 08 30 8D F8 0C 70 8D F8 09 A0,14.66721s,Vector SLP3,76 C2,,,
14.69334s,Vector SLP3,36 C3 8D F8 0D 60 8D F8 0A 90 8D F8 0E 50 8D F8 0B 80 8D F8 0F C0 69 46 B9 48 FE F7 C2 FA 14 B0 BD E8 F0 87 FE F7 DF FF 0A 20 FE F7 72 FE FA F7 F3 F9 14 B0 BD E8 F0 87 2D E9 F0 4F AA 4F 85 B0 4F F4 7A 79 06 46 A7 F8 04 90 38 78 00 28 1C BF 05 B0 BD E8 F0 8F 30 7A 00 09 F8 70 01 28 06 D1 31 18 40 1C 4A 7A C0 B2 0A 72 07 28 F8 D3 9F 4C 72 7A 04 F1 09 01 62 72 06 F1 09 00 4F F0 01 08 02 22,14.69770s,Vector SLP3,76 C3,,,
14.72431s,Vector SLP3,36 C4 90 F8 01 C0 81 F8 01 C0 10 F8 02 CF 01 F8 02 CF 52 1E F5 D1 60 7A 4F F0 7F 0A 40 30 60 72 B0 7A 4F F0 64 0B 60 F3 0F 23 F0 7A 60 F3 07 03 30 7B 8D F8 04 00 70 7B 8D F8 05 00 71 7A 12 20 27 29 00 F0 7F 81 0A DC 10 29 12 D0 11 29 25 D0 22 29 39 D0 00 BF 84 F8 09 A0 00 F0 53 BA 2E 29 00 F0 17 82 37 29 14 BF 3E 29 02 25 00 F0 36 82 F1 E7 4F F0 03 01 E1 72 4F F0 78 01 21 73 4F F0 00 01,14.72895s,Vector SLP3,76 C4,,,
14.75605s,Vector SLP3,36 C5 61 73 84 F8 0E B0 B1 7A 01 29 1A BF 02 29 03 29 06 25 40 F0 52 81 00 F0 20 BA B8 78 01 28 0C D0 02 25 25 72 71 49 75 48 FE F7 3A FA 0A 20 FE F7 EF FD FA F7 70 F9 00 F0 10 BA 03 25 84 F8 09 A0 33 20 00 F0 E3 B9 99 B2 4F F2 A3 13 CA 1A 99 42 7E D0 1B DC 4F F2 95 13 A1 EB 03 02 99 42 78 D0 0D DC B1 F5 71 4F 24 D0 01 F5 68 61 B1 F5 80 31 4F D0 0B 29 2D D0 0C 29 3B D0 00 F0 1E B9 0B 2A,14.76042s,Vector SLP3,76 C5,,,
14.78812s,Vector SLP3,36 C6 56 D0 0C 2A 6B D0 0D 2A 6D D0 16 E1 05 2A 75 D0 06 DC 01 2A 73 D0 02 2A 72 D0 03 2A 71 D0 0C E1 A2 F5 00 61 5E 39 6D D0 01 29 6C D0 02 29 6B D0 03 E1 B9 68 07 25 CA 1C 04 F1 0B 01 02 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 00 F0 C4 B9 B8 68 07 25 02 21 04 F1 0B 02 C0 1D 49 1E 43 78 53 70 10 F8 02 3F 02 F8 02 3F F7 D1 00 F0 B4 B9 B8 68 07 25 42 1E 04 F1 0B 01 02 20 53 78,14.79266s,Vector SLP3,76 C6,,,
14.81891s,Vector SLP3,36 C7 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 00 F0 A4 B9 07 25 3A 4A 04 F1 0B 01 02 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 00 F0 95 B9 07 25 F8 F7 FE FD 02 90 04 F1 0B 01 0D F1 07 02 02 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 02 E0 1B E0 6E E0 03 E0 40 1E F3 D1 00 F0 7E B9 29 48 04 25 00 78 1C E0 05 25 F2 F7 4B FE AD F8 04 00 9D F8 04 00 20 73 9D F8 05 00 58 E0 48 E0 0B E0,14.82352s,Vector SLP3,76 C7,,,
14.84987s,Vector SLP3,36 C8 11 E0 20 E0 63 E0 74 E0 85 E0 04 25 F4 F7 86 F9 32 30 20 73 00 F0 61 B9 04 25 F5 F7 52 FA 32 30 20 73 00 F0 5A B9 04 25 F2 F7 60 FE 00 F0 B7 FB 15 49 00 F0 76 FB 00 F0 C0 FB 00 B2 00 F0 AF FB 00 F0 D4 FB EC E7 04 25 F5 F7 C7 FC 00 EB 80 00 C0 F3 55 20 00 F0 AC FB 0C 49 00 F0 0A FB 00 F0 AC FB DD E7 BC 04 00 18 20 0C 00 18 90 0B 00 18 00 EE 01 11 FC EC 01 11 8F 0B 00 18 94 09 00 18,14.85439s,Vector SLP3,76 C8,,,
14.88074s,Vector SLP3,36 C9 EF 00 00 11 A1 04 00 18 CD CC CC 3D 00 00 8C C2 05 25 F8 F7 8E FD B0 FB F9 F0 4F F4 61 61 B0 FB F1 F0 02 90 9D F8 08 00 20 73 9D F8 09 00 60 73 13 E1 07 25 BD 4A 04 F1 0B 01 02 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 05 E1 05 25 01 A8 F2 F7 AF FD 0D F1 03 02 04 F1 0B 01 01 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 F3 E0 05 25 01 A8 F2 F7 A1 FD 04 F1 0B 01 0D F1,14.88525s,Vector SLP3,76 C9,,,
14.91154s,Vector SLP3,36 CA 03 02 01 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 E1 E0 05 25 01 A8 F3 F7 F0 FF 04 F1 0B 01 0D F1 03 02 01 20 53 78 4B 70 12 F8 02 3F 01 F8 02 3F 40 1E F7 D1 CF E0 03 25 84 F8 09 A0 A4 E0 B1 7A DF F8 68 92 01 29 66 D0 02 29 F4 D1 F0 7A 8D F8 0C 00 30 7B 8D F8 0D 00 70 7B 8D F8 0E 00 B0 7B 8D F8 0F 00 92 A0 03 AA 01 68 D9 F8 00 00 00 90 23 20 01 F0 FF 0B C1 F3 07 29 C1 F3,14.91610s,Vector SLP3,76 CA,,,
14.94344s,Vector SLP3,36 CB 07 45 4F EA 11 6C 00 BF 9D F8 03 10 5F EA D1 1E 4F EA 41 61 4F EA 11 63 8D F8 03 30 9D F8 02 E0 4F EA DE 11 14 BF 08 EB 4E 0E 4F EA 4E 0E 8D F8 02 E0 9D F8 01 E0 00 29 4F EA DE 11 14 BF 08 EB 4E 0E 4F EA 4E 0E 8D F8 01 E0 9D F8 00 E0 00 29 4F EA DE 11 14 BF 08 EB 4E 0E 4F EA 4E 0E 8D F8 00 E0 A1 B1 0E F0 FF 01 81 EA 0B 01 8D F8 00 10 9D F8 01 10 81 EA 09 01 8D F8 01 10 9D F8 02 10,14.94796s,Vector SLP3,76 CB,,,
14.97539s,Vector SLP3,36 CC 69 40 8D F8 02 10 83 EA 0C 01 8D F8 03 10 40 1E 00 28 B9 DC 00 20 6B 46 1A E0 06 25 F8 F7 C9 FC 4F EA 00 5A F8 F7 C5 FC 40 EA 0A 00 C9 F8 00 00 99 F8 00 00 E0 72 99 F8 01 00 20 73 99 F8 02 00 60 73 99 F8 03 00 A0 73 47 E0 40 1C 04 28 0F DA 00 F0 FF 0C 19 5C 12 F8 0C C0 61 45 F5 D0 04 28 06 DA 87 F8 02 80 03 25 84 F8 09 A0 35 20 0D E0 00 20 B8 70 F8 F7 56 F9 F4 F7 0C F9 F4 F7 AE F9,14.97982s,Vector SLP3,76 CC,,,
15.00730s,Vector SLP3,36 CD 04 20 78 70 03 25 84 F8 09 A0 78 20 E0 72 38 E0 99 B2 03 25 01 F6 A6 61 B1 F5 80 31 1D D0 A1 F5 00 61 A7 39 08 D0 01 29 0C D0 02 29 1C BF 84 F8 09 A0 E0 72 0C D0 24 E0 02 25 BD F8 04 00 F2 F7 B3 FC 0A E0 02 25 BD F8 04 00 F2 F7 B0 FC 04 E0 02 25 BD F8 04 00 F3 F7 0F FF 60 7A 7F 28 10 D0 F8 78 01 28 18 BF 25 72 0F D0 00 2D 04 BF 05 B0 BD E8 F0 8F 30 49 31 48 FE F7 12 F8 05 B0 BD E8,15.01168s,Vector SLP3,76 CD,,,
15.03881s,Vector SLP3,36 CE F0 8F 25 72 70 7A A0 72 EF E7 30 20 20 72 84 F8 09 B0 84 F8 0A 80 ED E7 27 48 00 21 03 22 01 60 01 71 42 71 81 71 C1 71 81 60 C1 60 01 61 41 61 81 61 C1 61 01 62 41 62 81 62 C1 62 01 63 41 63 81 63 C1 63 01 64 41 64 48 30 01 60 01 71 42 71 81 71 C1 71 81 60 C1 60 01 61 41 61 81 61 C1 61 01 62 41 62 81 62 C1 62 01 63 41 63 81 63 C1 63 01 64 41 64 12 49 48 30 D1 E9 00 23 C0 E9 00 23,15.04316s,Vector SLP3,76 CE,,,
15.06982s,Vector SLP3,36 CF D1 E9 02 23 C0 E9 02 23 D1 E9 04 23 C0 E9 04 23 D1 E9 06 23 C0 E9 06 23 D1 E9 08 23 C0 E9 08 23 D1 E9 0A 21 C0 E9 0A 21 70 47 00 00 E3 00 00 18 C8 04 00 18 31 CB 91 67 90 0B 00 18 94 09 00 18 34 55 01 11 10 B4 4F F0 00 0C 01 2B 0D D9 00 BF 31 F9 12 40 84 42 CC BF 13 46 94 46 03 EB 0C 02 52 08 A3 EB 0C 04 01 2C F2 D8 10 BC 0C F0 FF 00 70 47 2D E9 F0 03 90 F8 00 C0 44 78 06 9F 04 FB,15.07440s,Vector SLP3,76 CF,,,
15.10059s,Vector SLP3,36 D0 03 C0 3E 68 04 FB 03 C5 32 F9 10 00 B4 45 0C D0 02 EB 45 08 B1 F9 00 90 B8 F9 02 80 A8 EB 00 08 08 FB 09 F8 00 EB E8 10 00 B2 7F 68 BC 42 04 BF BD E8 F0 03 70 47 2B 44 B4 45 08 BF 32 F9 13 20 0E D0 02 EB 43 0C 32 F9 13 20 BC F9 02 C0 AC EB 02 03 B1 F9 00 C0 03 FB 0C F3 02 EB E3 12 12 B2 B1 F9 02 10 BD E8 F0 03 12 1A 51 43 00 EB E1 10 00 B2 70 47 2D E9 F0 03 90 F8 00 C0 44 78 06 9F,15.10527s,Vector SLP3,76 D0,,,
15.13137s,Vector SLP3,36 D1 04 FB 03 C0 3E 68 04 FB 03 C5 32 F9 10 00 B4 45 0C D0 02 EB 45 08 B1 F9 00 90 B8 F9 02 80 A8 EB 00 08 08 FB 09 F8 00 EB E8 10 00 B2 7F 68 BC 42 04 BF BD E8 F0 03 70 47 2B 44 B4 45 08 BF 32 F9 13 20 0E D0 02 EB 43 0C 32 F9 13 20 BC F9 02 C0 AC EB 02 03 B1 F9 00 C0 03 FB 0C F3 02 EB E3 12 12 B2 B1 F9 02 10 BD E8 F0 03 12 1A 51 43 00 EB E1 10 00 B2 70 47 70 B5 06 46 0C 46 B1 F9 00 00,15.13575s,Vector SLP3,76 D1,,,
15.16234s,Vector SLP3,36 D2 00 21 1D 46 B0 42 A8 BF 00 20 1A DA 34 F9 12 00 86 42 A8 BF D0 B2 14 DA 50 08 13 46 02 46 21 46 30 46 FF F7 4F FF 34 F8 10 10 04 EB 40 03 72 1A 12 04 5B 88 52 0A 59 1A 89 B2 B2 FB F1 F1 29 80 70 BD 19 80 70 BD 2D E9 F0 5F 05 46 00 20 92 46 9B 46 88 46 06 46 81 46 40 24 1B E0 28 46 41 46 47 46 22 46 00 F0 7D F9 53 46 5A 46 C0 1A 91 41 10 D3 11 46 18 46 22 46 00 F0 64 F9 2D 1A 67 EB,15.16699s,Vector SLP3,76 D2,,,
15.19314s,Vector SLP3,36 D3 01 08 4F 46 22 46 01 20 00 21 00 F0 5B F9 17 EB 00 09 4E 41 20 1E A4 F1 01 04 DF DC 48 46 31 46 2A 46 43 46 BD E8 F0 9F 40 EA 01 03 9B 07 03 D0 09 E0 08 C9 12 1F 08 C0 04 2A FA D2 03 E0 11 F8 01 3B 00 F8 01 3B 52 1E F9 D2 70 47 D2 B2 01 E0 00 F8 01 2B 49 1E FB D2 70 47 00 22 F6 E7 10 B5 13 46 0A 46 04 46 19 46 FF F7 F0 FF 20 46 10 BD 42 1E 12 F8 01 3F 00 2B FB D1 11 F8 01 3B 02 F8,15.19785s,Vector SLP3,76 D3,,,
15.22508s,Vector SLP3,36 D4 01 3B 00 2B F9 D1 70 47 10 B5 00 22 00 E0 52 1C 83 5C 8C 5C A3 42 01 D1 00 2B F8 D1 D8 B2 E1 B2 40 1A 10 BD 70 B5 05 4C 05 4D 03 E0 20 68 20 44 80 47 24 1D AC 42 F9 D1 70 BD 00 00 88 55 01 11 94 55 01 11 2D E9 F0 41 07 46 15 46 0E 46 10 20 00 F0 AE FA 04 00 0A D0 67 60 C4 E9 02 65 00 F0 11 F9 01 68 21 60 04 60 00 20 BD E8 F0 81 01 20 FB E7 F0 B4 80 EA 01 02 D4 0F 42 00 B2 EB 41 0F,15.22970s,Vector SLP3,76 D4,,,
15.25590s,Vector SLP3,36 D5 02 D2 02 46 08 46 11 46 4A 00 42 D0 C3 0D DD B2 C1 F3 C7 52 AD 1A 20 2D 35 DA C1 F3 16 01 41 F4 00 02 04 B1 52 42 C5 F1 20 06 02 FA 06 F1 2A 41 10 44 B3 EB D0 5F 23 D0 C4 B1 01 2D A0 EB C3 50 09 DC F0 BC 4F F0 00 42 02 EA C3 52 DB B2 00 F5 00 00 00 F0 0F B9 40 00 00 F1 80 70 00 EB C3 50 A0 F1 80 70 40 EA D1 70 49 00 09 E0 49 08 41 EA C0 71 A0 EB C3 50 00 F5 00 00 40 08 00 EB C3 50,15.26056s,Vector SLP3,76 D5,,,
15.28700s,Vector SLP3,36 D6 F0 BC 00 F0 EE B8 61 42 01 22 02 EB 41 01 00 1B F6 E7 F0 BC 70 47 81 F0 00 41 AA E7 80 F0 00 40 A7 E7 80 EA 01 02 10 B5 02 F0 00 43 40 00 22 D0 4A 00 1F D0 01 0E 01 EB 12 61 C0 F3 56 00 C2 F3 56 02 40 F4 00 00 42 F4 00 02 A0 FB 02 20 00 04 7F 39 14 04 00 D0 40 1C 50 EA 12 40 01 D4 40 00 49 1E C2 B2 0C 06 04 EB D0 10 40 1C 40 08 80 2A 02 D0 03 E0 00 20 10 BD 20 F0 01 00 00 29 00 DA,15.29142s,Vector SLP3,76 D6,,,
